Source_ID,Theme,Metric,Value,Unit,Geography,Population,Period,Source,Source_URL,Notes
INTEL24,Reasons hires did not work out,Inadequate problem-solving abilities,34,percent,Not stated in published methodology,Business leaders reporting recent graduate hire issues,August 2024,Intelligent.com,https://www.intelligent.com/1-in-6-companies-are-hesitant-to-hire-recent-college-graduates/,
INTEL24,Employer support,Companies placing underperforming recent graduate hires on PIPs,79,percent,Not stated in published methodology,966 business leaders involved in entry-level hiring,August 2024,Intelligent.com,https://www.intelligent.com/1-in-6-companies-are-hesitant-to-hire-recent-college-graduates/,
DELOITTE26,Global Gen Z career preferences,Prefer rapid promotions,25,percent,44 countries,Gen Z respondents,2026,Deloitte Global,https://www.deloitte.com/global/en/issues/work/genz-millennial-survey.html,
DELOITTE26,Global Gen Z career preferences,Prefer steady progress,44,percent,44 countries,Gen Z respondents,2026,Deloitte Global,https://www.deloitte.com/global/en/about/press-room/deloitte-2026-gen-z-and-millennial-survey.html,
DELOITTE26,Global Gen Z career preferences,Willing to move laterally or take a step back,21,percent,44 countries,Gen Z respondents,2026,Deloitte Global,https://www.deloitte.com/global/en/about/press-room/deloitte-2026-gen-z-and-millennial-survey.html,
DELOITTE26,Global Gen Z financial pressure,Delayed major life decisions due to finances,55,percent,44 countries,Gen Z respondents,2026,Deloitte Global,https://www.deloitte.com/global/en/about/press-room/deloitte-2026-gen-z-and-millennial-survey.html,
DELOITTE26,Global Gen Z financial pressure,Housing affordability or availability affects career decisions,69,percent,44 countries,Gen Z respondents,2026,Deloitte Global,https://www.deloitte.com/global/en/about/press-room/deloitte-2026-gen-z-and-millennial-survey.html,
DELOITTE26,Global Gen Z and millennial technology,Use AI in day-to-day work,74,percent,44 countries,Gen Z and millennial respondents,2026,Deloitte Global,https://www.deloitte.com/global/en/about/press-room/deloitte-2026-gen-z-and-millennial-survey.html,Published as a combined Gen Z and millennial figure
DELOITTE25,Global Gen Z manager support,Want managers to teach and mentor them,50,percent,44 countries,Gen Z respondents,2025,Deloitte Global,https://www.deloitte.com/global/en/about/press-room/deloitte-2025-gen-z-and-millennial-survey.html,
DELOITTE25,Global Gen Z manager support,Say managers actually teach and mentor them,36,percent,44 countries,Gen Z respondents,2025,Deloitte Global,https://www.deloitte.com/global/en/about/press-room/deloitte-2025-gen-z-and-millennial-survey.html,
DELOITTE25,Global Gen Z work priorities,Do not feel financially secure,48,percent,44 countries,Gen Z respondents,2025,Deloitte Global,https://www.deloitte.com/global/en/about/press-room/deloitte-2025-gen-z-and-millennial-survey.html,
DELOITTE25,Global Gen Z work priorities,Consider sense of purpose important to job satisfaction and well-being,89,percent,44 countries,Gen Z respondents,2025,Deloitte Global,https://www.deloitte.com/global/en/about/press-room/deloitte-2025-gen-z-and-millennial-survey.html,
